instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
b1c1s1.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/1_b1c1s1_seed-5_20260503_004715,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/1_b1c1s1_seed-5_20260503_004715/run.log
cost266-UUE.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/2_cost266-UUE_seed-5_20260503_010517,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/2_cost266-UUE_seed-5_20260503_010517/run.log
csched007.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/3_csched007_seed-5_20260503_012556,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/3_csched007_seed-5_20260503_012556/run.log
cvs16r128-89.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/4_cvs16r128-89_seed-5_20260503_015029,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/4_cvs16r128-89_seed-5_20260503_015029/run.log
eilA101-2.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/5_eilA101-2_seed-5_20260503_021043,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/5_eilA101-2_seed-5_20260503_021043/run.log
momentum1.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/6_momentum1_seed-5_20260503_022947,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/6_momentum1_seed-5_20260503_022947/run.log
mushroom-best.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/7_mushroom-best_seed-5_20260503_024850,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/7_mushroom-best_seed-5_20260503_024850/run.log
neos-1456979.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/8_neos-1456979_seed-5_20260503_031019,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/8_neos-1456979_seed-5_20260503_031019/run.log
neos-3024952-loue.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/9_neos-3024952-loue_seed-5_20260503_033015,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/9_neos-3024952-loue_seed-5_20260503_033015/run.log
neos-3555904-turama.mps,5,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/10_neos-3555904-turama_seed-5_20260503_035518,/scratch/yorig/mpils-results-grid-seconds-5/medium-1/2proc/seed-5/10_neos-3555904-turama_seed-5_20260503_035518/run.log
