EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,4,8.04,8.040000,364.000000,334.748820,14921508010286178949,null,0,1,0
2,9,8.04,8.040000,364.000000,334.748820,5988662020493846908,null,0,1,0
3,13,8.04,8.040000,364.000000,334.748820,13575339350133640537,null,0,1,0
4,18,8.04,8.040000,364.000000,334.748820,2823934824078185206,null,0,1,0
5,23,8.04,8.040000,364.000000,334.748820,18392939659909934726,null,0,1,0
6,27,8.04,8.040000,364.000000,334.748820,2077675631147850639,null,0,1,0
7,31,32.13,32.130000,490.000000,332.566228,18073175359058532266,null,0,1,0
8,36,8.04,8.040000,364.000000,334.748820,14494239334946615932,null,0,1,0
9,40,1.54,1.540000,340.000000,334.750246,5834979808369545068,null,0,1,0
10,45,1.54,1.540000,340.000000,334.750246,6069347888666045659,null,0,1,0
11,49,1.54,1.540000,340.000000,334.750246,1125760637125489525,null,0,1,0
12,53,1.54,1.540000,340.000000,334.750246,12201355970075538675,null,0,1,0
13,58,1.54,1.540000,340.000000,334.750246,14411919557727029673,null,0,1,0
14,62,1.54,1.540000,340.000000,334.750246,3562183675873536344,null,0,1,0
15,67,19.67,19.670000,414.000000,332.566228,12351453347240979420,null,0,1,0
16,71,1.54,1.540000,340.000000,334.750246,6114292714894095340,null,0,1,0
17,76,1.54,1.540000,340.000000,334.750246,1764603098776063636,null,0,1,0
18,80,1.54,1.540000,340.000000,334.750246,14402697572535995164,null,0,1,0
19,85,1.54,1.540000,340.000000,334.758436,13026710638108025884,null,0,1,0
20,89,1.54,1.540000,340.000000,334.750246,2362020530741363563,null,0,1,0
21,94,1.54,1.540000,340.000000,334.750246,4231962909355516790,null,0,1,1
22,98,1.54,1.540000,340.000000,334.750246,14895084175090282824,null,0,1,1
23,103,1.54,1.540000,340.000000,334.750246,3999504679967672419,null,0,1,1
24,107,8.62,8.620000,364.000000,332.629325,17204249975214070838,null,0,1,1
25,112,1.54,1.540000,340.000000,334.750246,4529267278858921330,null,0,1,1
26,116,1.54,1.540000,340.000000,334.750246,14160207755360996983,null,0,1,1
27,121,1.54,1.540000,340.000000,334.750246,2228727972081533514,null,0,1,1
28,125,1.54,1.540000,340.000000,334.750246,6033325679659007864,null,0,1,1
29,130,6.04,6.040000,354.000000,332.629359,13991620238619587483,null,0,1,1
30,134,2.17,2.170000,340.000000,332.631053,4323425890078864327,null,0,1,1
