instance,seed,tuner_rc,best_configuration_present,output_dir,log_path
neos-4387871-tavua.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/1_neos-4387871-tavua_seed-1_20260503_004715,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/1_neos-4387871-tavua_seed-1_20260503_004715/run.log
neos-4954672-berkel.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/2_neos-4954672-berkel_seed-1_20260503_010613,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/2_neos-4954672-berkel_seed-1_20260503_010613/run.log
neos-5093327-huahum.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/3_neos-5093327-huahum_seed-1_20260503_012611,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/3_neos-5093327-huahum_seed-1_20260503_012611/run.log
nexp-150-20-8-5.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/4_nexp-150-20-8-5_seed-1_20260503_014748,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/4_nexp-150-20-8-5_seed-1_20260503_014748/run.log
rococoB10-011000.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/5_rococoB10-011000_seed-1_20260503_020536,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/5_rococoB10-011000_seed-1_20260503_020536/run.log
sorrell3.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/6_sorrell3_seed-1_20260503_022412,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/6_sorrell3_seed-1_20260503_022412/run.log
supportcase26.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/7_supportcase26_seed-1_20260503_024139,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/7_supportcase26_seed-1_20260503_024139/run.log
supportcase40.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/8_supportcase40_seed-1_20260503_030102,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/8_supportcase40_seed-1_20260503_030102/run.log
supportcase6.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/9_supportcase6_seed-1_20260503_032031,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/9_supportcase6_seed-1_20260503_032031/run.log
var-smallemery-m6j6.mps,1,0,1,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/10_var-smallemery-m6j6_seed-1_20260503_034006,/scratch/yorig/mpils-results-grid-seconds-5/medium-2/2proc/seed-1/10_var-smallemery-m6j6_seed-1_20260503_034006/run.log
