EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,15.93,15.930000,2659476.000000,2235768.375310,14921508010286178949,null,0,1,0
2,13,16.3,16.300000,2659476.000000,2226055.742804,5643427149002281568,null,0,1,0
3,19,17.29,17.290000,2677953.000000,2214876.541047,2823934824078185206,null,0,1,0
4,25,17.53,17.530000,2678391.000000,2208815.365709,12911295086759950527,null,0,1,0
5,32,15.83,15.830000,2659476.000000,2238598.530933,15495703117619861868,null,0,1,0
6,38,15.83,15.830000,2659476.000000,2238598.530933,3499817129807317381,null,0,1,0
7,45,15.83,15.830000,2659476.000000,2238492.655708,14397457545603762146,null,0,1,0
8,51,16.18,16.180000,2660741.000000,2230130.630412,8231821064026944110,null,0,1,0
9,58,14.85,14.850000,2637476.000000,2245705.699506,12738985169681797412,null,0,1,0
10,64,15.52,15.520000,2659476.000000,2246806.613253,2120545049324657485,null,0,1,0
11,71,15.54,15.540000,2659476.000000,2246170.249205,6867544390943514717,null,0,1,0
12,77,15.58,15.580000,2659476.000000,2245068.561972,13168508165979732390,null,0,1,0
13,83,17.26,17.260000,2678391.000000,2216004.017583,10866209093580175603,null,0,1,0
14,90,14.85,14.850000,2637476.000000,2245705.699506,14772833917689512412,null,0,1,0
15,96,16.2,16.200000,2678391.000000,2244371.581794,1822367140250270339,null,0,1,0
16,103,22.09,22.090000,2650353.000000,2064975.615720,12174911176546759540,null,0,1,0
17,110,20.82,20.820000,2632839.000000,2084813.334553,17839908140697263915,null,0,1,0
18,116,17.91,17.910000,2637475.999995,2165154.759134,15318683897245188226,null,0,1,0
19,122,14.85,14.850000,2637476.000000,2245705.699506,14497374737882244232,null,0,1,0
20,129,17.52,17.520000,2625156.000000,2165350.158970,4618236981678659861,null,0,1,0
21,5,26.22,26.220000,2699890.000000,1991850.000000,17514050945686148453,null,1,1,0
22,11,24.34,24.340000,2676180.000000,2024770.000000,14945327202240187335,null,1,1,0
23,17,20.93,20.930000,2659480.000000,2102850.000000,3621045295637817750,null,1,1,0
