EvalID,TimeEvaluated,SolverRuntimeSeconds,SolverTerminationStatus,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,5,5.004263,Normal,1.71,1.710000,175.000000,172.000000,14921508010286178949,null,0,1,0
2,10,5.003637,Normal,6.04,6.040000,182.000000,171.000000,5643427149002281568,null,0,1,0
3,15,5.003197,Normal,4.47,4.470000,179.000000,171.000000,2823934824078185206,null,0,1,0
4,20,5.003542,Normal,3.39,3.390000,177.000000,171.000000,12911295086759950527,null,0,1,0
5,25,5.002608,Normal,1.15,1.150000,174.000000,172.000000,15495703117619861868,null,0,1,0
6,30,5.003092,Normal,1.15,1.150000,174.000000,172.000000,3499817129807317381,null,0,1,0
7,35,5.002622,Normal,1.15,1.150000,174.000000,172.000000,14397457545603762146,null,0,1,0
8,40,5.003235,Normal,2.84,2.840000,176.000000,171.000000,8231821064026944110,null,0,1,0
9,45,5.004127,Normal,2.82,2.820000,177.000000,172.000000,12738985169681797412,null,0,1,0
10,50,5.003789,Normal,5,5.000000,180.000000,171.000000,8609448594415774881,null,0,1,0
11,55,5.002981,Normal,1.15,1.150000,174.000000,172.000000,10708952311738083886,null,0,1,0
12,60,5.003287,Normal,1.15,1.150000,174.000000,172.000000,12977040690974186434,null,0,1,0
13,65,5.002941,Normal,1.15,1.150000,174.000000,172.000000,9080173133444326349,null,0,1,0
14,70,5.002860,Normal,3.93,3.930000,178.000000,171.000000,3773182470468751137,null,0,1,0
15,75,5.003595,Normal,6.04,6.040000,182.000000,171.000000,12477530550632405707,null,0,1,0
16,80,5.003289,Normal,1.71,1.710000,175.000000,172.000000,5834950261831871145,null,0,1,0
17,85,5.003163,Normal,1.15,1.150000,174.000000,172.000000,10328288816522410356,null,0,1,0
18,90,5.003456,Normal,3.88,3.880000,178.000000,171.092364,10932394299006356428,null,0,1,0
19,95,5.003483,Normal,1.15,1.150000,174.000000,172.000000,7731515200120874478,null,0,1,0
20,100,5.002929,Normal,1.15,1.150000,174.000000,172.000000,2361001764338406929,null,0,1,0
21,5,5.003160,Normal,3.39,3.390000,177.000000,171.000000,17514050945686148453,null,1,1,0
22,10,5.003140,Normal,5,5.000000,180.000000,171.000000,14945327202240187335,null,1,1,0
23,15,5.002970,Normal,1.72,1.720000,174.000000,171.000000,5618135918108975868,null,1,1,0
24,20,5.002910,Normal,5,5.000000,180.000000,171.000000,18187865233440282756,null,1,1,0
25,25,5.004750,Normal,3.93,3.930000,178.000000,171.000000,9175746710825355463,null,1,1,0
26,30,5.002660,Normal,1.72,1.720000,174.000000,171.000000,15732941145611108253,null,1,1,0
27,35,5.002940,Normal,6.04,6.040000,182.000000,171.000000,12416084746315198944,null,1,1,0
28,40,5.005100,Normal,6.04,6.040000,182.000000,171.000000,6293421248116323512,null,1,1,0
29,45,5.002770,Normal,1.72,1.720000,174.000000,171.000000,9332567457663734979,null,1,1,0
30,50,5.003260,Normal,8.56,8.560000,187.000000,171.000000,18371248802713708771,null,1,1,0
31,55,5.002960,Normal,1.72,1.720000,174.000000,171.000000,372741329198567971,null,1,1,0
32,60,5.002780,Normal,4.47,4.470000,179.000000,171.000000,14154725322986102039,null,1,1,0
33,65,5.002900,Normal,1.72,1.720000,174.000000,171.000000,6368841530993485181,null,1,1,0
34,70,5.004410,Normal,1.72,1.720000,174.000000,171.000000,10169062114722534809,null,1,1,0
35,75,5.002940,Normal,1.72,1.720000,174.000000,171.000000,14406993883129699561,null,1,1,0
36,80,5.004390,Normal,1.72,1.720000,174.000000,171.000000,7184048667681008687,null,1,1,0
37,85,5.003210,Normal,6.56,6.560000,183.000000,171.000000,12634236830647523392,null,1,1,0
38,90,5.002530,Normal,2.84,2.840000,176.000000,171.000000,17217620269559307386,null,1,1,0
39,95,5.003190,Normal,6.56,6.560000,183.000000,171.000000,2059050748825341890,null,1,1,0
40,100,5.003000,Normal,5,5.000000,180.000000,171.000000,7280933403741311867,null,1,1,0
41,5,5.004940,Normal,5,5.000000,180.000000,171.000000,2804053118686667685,null,2,1,0
42,10,5.003050,Normal,3.93,3.930000,178.000000,171.000000,15558195506789843468,null,2,1,0
43,15,5.002900,Normal,2.29,2.290000,175.000000,171.000000,5528794372752364553,null,2,1,0
44,20,5.004320,Normal,3.39,3.390000,177.000000,171.000000,16088453090311711417,null,2,1,0
45,25,5.002790,Normal,2.29,2.290000,175.000000,171.000000,12504688451658718899,null,2,1,0
46,30,5.002340,Normal,3.39,3.390000,177.000000,171.000000,13376679049763403712,null,2,1,0
47,35,5.002840,Normal,5,5.000000,180.000000,171.000000,8935219102387644750,null,2,1,0
48,40,5.002900,Normal,3.39,3.390000,177.000000,171.000000,2767680580426377243,null,2,1,0
49,45,5.002930,Normal,2.29,2.290000,175.000000,171.000000,7691308208562205150,null,2,1,0
50,50,5.002750,Normal,3.93,3.930000,178.000000,171.000000,8621626932493800262,null,2,1,0
51,55,5.003430,Normal,3.93,3.930000,178.000000,171.000000,11262948123474576969,null,2,1,0
52,60,5.006600,Normal,1.72,1.720000,174.000000,171.000000,17994303870253837979,null,2,1,0
53,65,5.002620,Normal,4.47,4.470000,179.000000,171.000000,16965774691134000699,null,2,1,0
54,70,5.002860,Normal,2.84,2.840000,176.000000,171.000000,18290544536924550913,null,2,1,0
55,75,5.002260,Normal,4.47,4.470000,179.000000,171.000000,4098361534104744499,null,2,1,0
56,80,5.004210,Normal,1.72,1.720000,174.000000,171.000000,12324199562159483075,null,2,1,0
57,85,5.002830,Normal,3.39,3.390000,177.000000,171.000000,17647215915201410694,null,2,1,0
58,90,5.003320,Normal,2.29,2.290000,175.000000,171.000000,9440697733042942618,null,2,1,0
59,95,5.002830,Normal,1.16,1.160000,173.000000,171.000000,4107702564450865805,null,2,1,0
60,100,5.002730,Normal,1.72,1.720000,174.000000,171.000000,8790344089480838702,null,2,1,0
61,5,5.003660,Normal,4.47,4.470000,179.000000,171.000000,145401686263944303,null,3,1,0
62,10,5.002760,Normal,4.47,4.470000,179.000000,171.000000,8799749763501343571,null,3,1,0
63,15,5.002700,Normal,4.47,4.470000,179.000000,171.000000,15708186979800204989,null,3,1,0
64,20,5.003110,Normal,4.47,4.470000,179.000000,171.000000,14547541339312857813,null,3,1,0
65,25,5.003340,Normal,1.72,1.720000,174.000000,171.000000,17257326725602205061,null,3,1,0
66,30,5.005070,Normal,2.84,2.840000,176.000000,171.000000,12626641600961180368,null,3,1,0
67,35,5.002850,Normal,1.72,1.720000,174.000000,171.000000,9068908156935302787,null,3,1,0
68,40,5.003030,Normal,1.72,1.720000,174.000000,171.000000,5925123280968784892,null,3,1,0
69,45,5.002810,Normal,1.72,1.720000,174.000000,171.000000,5654066692124122128,null,3,1,0
70,50,5.005140,Normal,2.84,2.840000,176.000000,171.000000,14890446651804646197,null,3,1,0
71,55,5.003100,Normal,1.72,1.720000,174.000000,171.000000,10134538418957805556,null,3,1,0
72,60,5.003480,Normal,1.72,1.720000,174.000000,171.000000,2050245741559219700,null,3,1,0
73,65,5.003180,Normal,1.72,1.720000,174.000000,171.000000,10965997694391593349,null,3,1,0
74,70,5.002900,Normal,1.72,1.720000,174.000000,171.000000,12849996506223177695,null,3,1,0
75,75,5.003070,Normal,1.72,1.720000,174.000000,171.000000,12357975900976354875,null,3,1,0
76,80,5.001840,Normal,1.72,1.720000,174.000000,171.000000,7159319737346492637,null,3,1,0
77,85,5.002860,Normal,4.47,4.470000,179.000000,171.000000,14172811315663294555,null,3,1,0
78,90,5.002910,Normal,1.72,1.720000,174.000000,171.000000,11537633018331778075,null,3,1,0
79,95,5.004840,Normal,1.72,1.720000,174.000000,171.000000,18071115876777075272,null,3,1,0
80,100,5.003000,Normal,1.72,1.720000,174.000000,171.000000,11197980349499848070,null,3,1,0
81,5,5.003970,Normal,2.84,2.840000,176.000000,171.000000,6863155508343490133,null,4,1,0
82,10,5.003160,Normal,2.84,2.840000,176.000000,171.000000,6164721125244991746,null,4,1,0
83,15,5.002010,Normal,1.72,1.720000,174.000000,171.000000,12571469938378577234,null,4,1,0
84,20,5.002830,Normal,2.84,2.840000,176.000000,171.000000,15560217651206113047,null,4,1,0
85,25,5.001520,Normal,1.72,1.720000,174.000000,171.000000,5981096053351862101,null,4,1,0
86,30,5.002660,Normal,1.72,1.720000,174.000000,171.000000,6339058726337126105,null,4,1,0
87,35,5.004650,Normal,2.84,2.840000,176.000000,171.000000,9464057345749289711,null,4,1,0
88,40,5.002300,Normal,1.72,1.720000,174.000000,171.000000,7846552774181279095,null,4,1,0
89,45,5.005030,Normal,1.71,1.710000,175.000000,172.000000,10195922005200955025,null,4,1,0
