EvalID,TimeEvaluated,ObjectiveValue,Gap,UpperBound,LowerBound,ConfigID,MipStartID,WorkerID,Iteration,Phase
1,6,31.82,31.820000,141266.228329,96310.267929,14921508010286178949,null,0,1,0
2,12,68.74,68.740000,308144.054602,96312.913842,2823934824078185206,null,0,1,0
3,17,68.08,68.080000,301743.487560,96324.649181,3895283216737288575,null,0,1,0
4,23,31.82,31.820000,141266.228329,96310.267929,9658482938002475941,null,0,1,0
5,29,68.74,68.740000,308124.866397,96310.895147,5988662020493846908,null,0,1,0
6,35,69.38,69.380000,314544.844941,96310.655975,5643427149002281568,null,0,1,0
7,41,31.82,31.820000,141266.228329,96310.267929,864434800366833410,null,0,1,0
8,47,68.74,68.740000,308125.462586,96311.511099,8683817217222751575,null,0,1,0
9,53,68.74,68.740000,308148.109469,96324.286183,5948685825087948624,null,0,1,0
10,61,76.27,76.270000,333809.066611,79213.034497,18073175359058532266,null,0,1,0
11,67,68.08,68.080000,301704.657617,96313.675652,15743638518301921207,null,0,1,0
12,73,31.82,31.820000,141266.228329,96310.267929,13575339350133640537,null,0,1,0
13,79,68.74,68.740000,308114.917836,96309.249118,14770251354950928531,null,0,1,0
14,85,66.66,66.660000,288870.310021,96311.930538,18060637416333092177,null,0,1,0
15,92,40,40.000000,160491.015866,96291.312324,5834979808369545068,null,0,1,0
16,98,68.75,68.750000,308144.054812,96309.671426,10905844833752053842,null,0,1,0
17,104,31.82,31.820000,141266.228329,96310.267929,2225858521084382651,null,0,1,0
18,110,68.74,68.740000,308114.917836,96309.249118,16450644818478286277,null,0,1,0
19,116,68.74,68.740000,308160.021378,96323.415345,10101538263502436884,null,0,1,0
20,122,68.75,68.750000,308137.786978,96287.806272,10475899001479897097,null,0,1,0
21,6,71.27,71.270000,314573.000000,90384.200000,8723278136865304665,null,1,1,0
22,13,69.99,69.990000,320985.000000,96325.200000,4970148594231515670,null,1,1,0
23,19,69.39,69.390000,314541.000000,96276.300000,6270648273501389222,null,1,1,0
24,25,69.39,69.390000,314541.000000,96276.300000,1718447797715883133,null,1,1,0
25,31,69.39,69.390000,314541.000000,96276.300000,10152323841903041700,null,1,1,0
26,37,69.39,69.390000,314541.000000,96276.300000,4738617011938782313,null,1,1,0
27,43,70,70.000000,320985.000000,96281.600000,11253808247282079145,null,1,1,0
28,49,69.39,69.390000,314541.000000,96276.300000,7970112766810902645,null,1,1,0
29,55,70,70.000000,320984.000000,96300.100000,17475439611903934698,null,1,1,0
30,62,40.03,40.030000,160533.000000,96279.600000,6226204537652561856,null,1,1,0
31,68,68.74,68.740000,308139.000000,96315.900000,2239873436225781099,null,1,1,0
32,74,40.03,40.030000,160533.000000,96279.600000,16297814900033396016,null,1,1,0
33,80,16.71,16.710000,115647.000000,96325.200000,12612852861734067094,null,1,1,0
34,86,16.71,16.710000,115647.000000,96325.200000,16481350909537472536,null,1,1,0
35,92,68.75,68.750000,308138.000000,96298.900000,4216224231023122734,null,1,1,0
